ETBL_ID,ETBL_NOM_FR,ETBL_NOM_EN,ETBL_DESC_FR,ETBL_DESC_EN,ETBL_RESERVABLE
8317945,Plage municipale de Sainte-Thècle,Plage municipale de Sainte-Thècle,"La plage, en plein coeur du village, offre plusieurs aménagements propices aux loisirs dans un magnifique décor : baignade sous la surveillance d'un sauveteur, terrains de volleyball et basketball, tables de pique-nique, terrain de jeu aménagé pour les tout-petits, jeux d'eau, toilettes publiques, etc.","This beach, right in the village, offers a number of facilities that will allow you to enjoy leisure activities in a magnificent setting: swimming under a lifeguard's supervision, volleyball and basketball courts, picnic tables, play area for toddlers, water games, public restrooms, etc.",0
8319664,Éco-Parc des Etchemins,Éco-Parc des Etchemins,"Très beau parc aménagé sur les rives du lac Etchemin. Plage publique surveillée avec quai flottant, quatre glissades d¿eau, plate-forme de jeux d¿eau, sentiers, aire de pique-nique et aire de jeux pour les enfants. Jeux extérieurs : volleyball de plage, soccer, basketball. Restauration et location d¿embarcations sur place. Location de salle disponible.","This pretty park sits on the shores of Lac Etchemin. It boasts a supervised public beach with floating dock, four water slides, a splash pad, watercraft rental, picnic and rest areas and children's playground. Beach volleyball, soccer and basketball courts on site. Hall available for rent.",0
8322716,La base de plein air Air-Eau-Bois,La base de plein air Air-Eau-Bois,Cette base de plein air vous offre de découvrir votre vraie nature. Sa mission est de favoriser la pratique d¿activités en milieu naturel par la formation et la prestation de services et de programmes de plein air. Accès à un lac avec plage et location de canot.,"Discover nature at its best at this outdoor recreation area. The centre¿s mission is to promote a wide array of activities in a natural setting by offering training, services and outdoor programs. Access to a lake, beach and canoe rentals.",0
8329411,Plage municipale - Banc de Pabos - Grande-Rivère,Plage municipale - Banc de Pabos - Grande-Rivère,"Détendez-vous en toute sécurité avec votre petite famille, dans un environnement panoramique, sur les rives du golfe Saint-Laurent. Terrain de volleyball, table de pique-nique, chaises de soleil et baignade sous l'oeil vigilant de sauveteurs, dans un décor enchanteur.","Relax with your kids in total safety at this park on the Gulf of St. Lawrence and savour a panoramic view. Volleyball court, picnic tables, beach chairs and watchful lifeguards, all in an enchanting setting.",0
8329958,Plage Haldimand,Plage Haldimand,"La plage Haldimand est située à 8 km du centre-ville de Gaspé, dans un décor fabuleux, avec le Parc Forillon comme toile de fond. Facile d'accès et offrant tous les services, c'est un lieu de rencontre familial exceptionnel : mer et sable. À découvrir, si vous passez par Gaspé.","Haldimand beach is located 8 km (5 mi.) from downtown Gaspé, in a fabulous setting, with <em>Parc Forillon</em> in the background. Easily accessible and offering all services, it has all you need for great family fun: sand and sea. Be sure to stop by on your way through the Gaspésie.",0
8338479,Plage du Parc des îles,Plage du Parc des îles,"Relié au secteur de l¿hôtel de ville et du barrage Mathieu-D¿Amours par une passerelle, ce parc invite à la détente et propose une foule d¿activités. Vous y trouverez : plage surveillée, location d¿embarcations, piste cyclable, volleyball, basketball, aire de jeux, terrain de mini-golf, jeux d¿eau et plus encore.","Perfect for relaxing or enjoying various activities, this park is connected to the city hall district and Mathieu-D¿Amours Dam through a pedestrian bridge. Features a supervised beach, boat rental, a bike path, volleyball and basketball courts, a children¿s playground, a mini-golf course, water games and much more.",0
8348114,M.A. Poirier,M.A. Poirier,"Visites guidées des Îles-de-la-Madeleine. Le forfait 5 étoiles comprend les excursions <em>Richesses insulaires, Au Pied des demoiselles</em> et l<em>a Capitale du homard et l¿île aux trésors</em> ainsi que les trois repas du midi et le service de navette pour le repas du soir. Possibilité d'excursions de groupe et de location d'autobus.","Guided tours of the Îles-de-la-Madeleine. Five-star package includes excursions. <em>Richesses insulaires</em>(island riches), <em>Au pied des Demoiselles</em> at the foot of the Desmoiselles,<em> La Capitale du homard</em> (the east and the lobster capital) <em>and l¿Île aux trésors </em>(treasure island)three midday meals and shuttle service for evening meals. Group trips, bus rentals available.",0
8428205,Centre de conservation des oiseaux sauvages - Le Nichoir,Le Nichoir Wild Bird Conservation Centre,"Organisme agissant pour la conservation des oiseaux sauvages par la réhabilitation, l¿éducation et la recherche. On y prodigue les soins appropriés aux oiseaux sauvages chanteurs et aquatiques du Québec. Plus de 1 800 oiseaux blessés ou orphelins y sont accueillis et pris en charge chaque année. Visite du site et programme éducatif.","This centre promotes wild bird conservation through rehabilitation, education and research. It specializes in the humane care of wild songbirds and aquatic birds found in Québec, and treats at least 1,800 injured and orphaned birds every year. It also offers self-guided tours as well as an educational program.",0
8430058,Arnold Paintball,Arnold Paintball,"Une expérience inoubliable, une journée remplie d'adrénaline sur les 15 magnifiques terrains extérieurs aux configurations variées. Attaquez le fort, défendez l'église, jouez dans les pyramides et n'oubliez pas le terrain des autobus, tout cela à Havelock.","Come experience an unforgettable adventure, an adrenaline-filled day on 15 magnificent fields, each configured differently. Attack the fort, defend the church, play in the pyramids and don't forget the bus field. Located in Havelock.",0
8437117,Paintball Mirabel,Paintball Mirabel,"Ce centre multi aventure compte désormais 33 terrains, dont un intérieur, tous aménagés avec un réalisme inégalé. L¿équipe de moniteurs et d¿animateurs vous fera vivre une expérience immersive unique et riche en sensations fortes. Le centre possède toutes les installations nécessaires pour vous offrir une expérience complète.","A multi-adventure center boasting 33 fields developed with unparalleled realism, including an indoor field for winter games. A team of instructors and activity leaders will ensure you enjoy an intense, one-of-a-kind adventure. You¿ll find everything you need for a complete experience.",0
8458537,Le Château de Cirque,Circus Castle,"Ce centre récréatif vous invite à faire l¿expérience du trapèze volant et des arts aériens dans un contexte ludique évoquant le cirque. Vous progresserez à votre propre rythme, selon vos capacités. Une activité familiale idéale!",This recreational centre invites you to experience a flying trapeze and other aerial art forms in a circus-like setting. Participants progress at their own pace and according to their specific skills. The perfect family activity!,0
8458957,Saguenay Paintball Karting Inc.,Saguenay Paintball Karting Inc.,Vivez une expérience unique dans le plus grand centre d'activités extrêmes de la région!,Enjoy a unique experience in the region's largest extreme activity centre!,0
8459005,Laser Quest,Laser Quest,"Prêt pour l'aventure? Découvrez, à deux pas du Centre Bell, à Montréal, le jeu d'aventure au laser le plus excitant en ville. Osez vous égarer dans le brouillard d'un labyrinthe de cinq niveaux avec effets de lumière, le tout enveloppé d'une musique enivrante. Peu importe l'événement, que vous soyez âgé de 5 à 85 ans, Laser Quest est l'endroit idéal.","Are you ready for adventure? Just a stone's throw from the Bell Centre, in Montréal, you'll find the most exciting laser game in the city. Dare to get lost in the mist of a five-level labyrinth with light effects and intoxicating music. Whatever the event, whether you're 5 or 85, Laser Quest is the place to be.",0
8502936,Parc linéaire interprovincial Petit Témis,Parc linéaire interprovincial Petit Témis,"Le parc linéaire interprovincial Petit Témis est la première piste cyclable au Canada reliant le Québec et le Nouveau-Brunswick. Constitué de 134 km de pistes en gravier, entièrement réservé aux cyclistes et aux piétons, ce parc est situé sur l'emprise d'une ancienne voie ferrée. La dénivellation des pentes ne dépasse jamais 4 %, rendant ainsi le parcours accessible à tous.","The Petit Témis Interprovincial Linear Park is the first bike path in Canada to connect Québec and New Brunswick. Composed of 134 km (83 mi.) of gravel paths reserved strictly for cyclists and pedestrians, this park is located on a decommissioned railway. None of the slopes exceed 4%, meaning the paths accessible to everyone.",0
8504436,La Route des Champs,La Route des Champs,"Piste cyclable située au c¿ur de la Montérégie, reliant Chambly à Granby en passant par Richelieu et Saint-Paul-d¿Abbotsford. Champs, vergers et collines montérégiennes font partie du paysage qui se colore au gré des saisons et des récoltes. Parcours asphalté à 90 % et à faible dénivelé.","This bike path passes through the heart of Montérégie, connecting Chambly to Granby via Richelieu and Saint-Paul-d¿Abbotsford. Admire fields, orchards and the Montérégien hills as they change with the seasons and harvests. The trail is 90% paved and mostly flat.",0
8504499,La Route verte,La Route verte,Parcourez un itinéraire cyclable de 5 300 kilomètres aisément accessible à tous et reliant toutes les régions du Québec. Il est possible d¿y circuler en tout confort et en toute sécurité grâce à des voies cyclables normées et bien signalisées.,"Enjoy a 5,300-km (3,291-mi.) cycling network easily accessible to everyone and linking all the regions of Québec. Thanks to well-marked, standardized bike paths, cycling enthusiasts can tour the province comfortably and safely.",0
