Nom de la borne de recharge,Nom du parc,Adresse,Niveau de recharge,Latitude,Longitude,Coût
AAA-10686,CS Beauce-Etchemin - SBDRM-00081,"1925, 118e rue, St-Georges, QC, G5Y 7R7",Level2,46.12791,-70.663757,"1,00 $ (CAD) de l'heure"
AAB-11983,880-930 Bois-fontaine,"880 Chemin Sainte-Foy, Québec, QC, G1S 2L2",Level2,46.80021,-71.24221,"0,00 $ (CAD) de l'heure"
AAA-10526,Sobeys North Sydney,"116 King St., North Sydney, NS, B2A 3R7",Level2,46.214553,-60.266302,"1,50 $ (CAD) de l'heure"
AAA-563,Benny & Co. - Sherbrooke,"2015 12e Avenue N, Sherbrooke, QC, J1E 4J5",Level2,45.434911,-71.868825,"1,00 $ (CAD) de l'heure"
AAB-12627,Kingston - Chown Memorial Garage,"197 Brock St, Kingston, ON, K7L 1S3",Level2,44.23142604,-76.48678129,"0,00 $ (CAD) par session"
AAA-489,Saint John Parking Commission,"75 Carleton street, Saint John, NB, E2L 2Z2",Level2,45.276142,-66.06207,"1,00 $ (CAD) de l'heure"
AAA-10364,Vieux-Port de Montréal,"2 Rue de la Commune O, Montréal, QC, H2Y 4B2",Level2,45.505148,-73.54962,"0,00 $ (CAD) de l'heure"
AAA-154,Place Ville-Marie,"4 Place Ville-Marie, Montréal, QC, H3B 2E7",Level2,45.501046,-73.569555,"1,00 $ (CAD) de l'heure"
AAB-10705,STO - Centre d'Entretien et d'Exploitation,"708 Boul. des Affaires, Gatineau, QC, J8R 3J8",Level2,45.51286,-75.655874,"1,00 $ (CAD) de l'heure"
AAB-12963,SQI - 120 rue St-Paul,"120 Rue Saint-Paul, Québec, QC, G1K 3W1",Level2,46.816656,-71.205115,"1,00 $ (CAD) de l'heure"
AAB-10545,EasyPark - Pacific Centre,"701 W Georgia St, Vancouver, BC, V7Y 1G5",Level2,49.283974,-123.11755,"0,00 $ (CAD) de l'heure"
AAA-10586,FLO - Canadian Tire - Calgary,"9940 Macleod Trail SE, Calgary, AB, T2J 3K9",Level2,50.964145,-114.068608,"2,00 $ (CAD) de l'heure"
AAA-10429,Montréal - Marché Central - 1025 rue Marché Central,"1025 rue Marché Central, Montréal, QC, H4N 3K1",Level2,45.534841,-73.65943,"0,00 $ (CAD) par session"
